content,score,sentiment,clean
amanah,5,positif,amanah
shopee keren banget menurut aku keren-keren banget aku bisa beli belanja belanja shopping dan the best banget kalau nggak ada shopee kayaknya aku nggak bisa belanja di shopee nggak bisa shopping terima kasih shopee akhirnya aku bisa shopping dengan bebas tanpa harus ke mall,5,positif,shopee keren banget aku kerenkeren banget aku beli belanja belanja shopping the best banget kalau ada shopee kayaknya aku belanja shopee bisa shopping terima kasih shopee akhirnya aku bisa shopping bebas harus mall
"app sangat gak berguna. data dana paylater saya di pake orang. trs saya harus bayar. secara saya gak make uang paylater tersebut. enak di shoppe untungnya di mereka rugi di saya. yang masih make shopee hati"" datanya di pake/ di hack orang.",1,negatif,app sangat gak berguna data dana paylater pake orang trs harus bayar saya gak make uang paylater tersebut enak shoppe untungnya mereka rugi saya masih make shopee hati datanya pake di hack orang
Mantap,5,positif,mantap
sangat membantu,5,positif,sangat membantu
kami berharap pelayanan kepada castemer itu harus responsif dan fleksibel tampa banyak mekanisme yang rumit jika itu sudah di perbarui pasti bintang 5 dan aplikasi akan lebih updet lgi,4,positif,berharap pelayanan castemer harus responsif fleksibel tampa banyak mekanisme rumit itu di perbarui bintang  aplikasi lebih updet lgi
"6th setia menggunakan shopee ini, memang sangat memudahkan dalam berbelanja onlen dengan beragam kebutuhan hampir semua nya ada di shopee, tapi makin kesini makin menurun kualitas nya, sering lag berat banget padahal kapasitas hp masih besar, banyak banget bug. untuk promo potongan diskon dll nya, tidak ada keuntungan yg berarti, lebih parah lagi soal pengiriman untuk kami luar pulau jawa begitu lelet lama terutama kargo parah banget.",1,negatif,th setia menggunakan shopee memang sangat memudahkan berbelanja onlen beragam kebutuhan hampir semua nya di shopee makin kesini makin menurun kualitas nya sering lag berat banget padahal kapasitas hp besar banyak banget bug promo potongan diskon nya ada keuntungan yg berarti lebih parah soal pengiriman kami luar pulau jawa lelet lama terutama kargo parah banget
menggagu iklan sopie bikin jengkel iklannya ganggu mening kalau sopie ini kasih hadiah boro boro ku unistal pasti,1,negatif,menggagu iklan sopie bikin jengkel iklannya ganggu mening kalau sopie kasih hadiah boro boro ku unistal
Bagus,5,positif,bagus
aplikasi ini sangat bagus,5,positif,aplikasi sangat bagus
shopeefood pay👎 mau cek saldo shopee pay dipersulit sisa saldo seakan disembunyikan apakah sisa saldo agar tidak terdeteksi dan tambah saldo sebanyak mungkin didompet kah?...🤣 apakah agar member deposit uang di dompet sebanyak mungkin... apakah ini tehnik menghimpun dana versi shopee...🤣👎,1,negatif,shopeefood pay mau cek saldo shopee pay dipersulit sisa saldo seakan disembunyikan sisa saldo tidak terdeteksi tambah saldo sebanyak mungkin didompet member deposit uang dompet sebanyak mungkin apakah ini tehnik menghimpun dana versi shopee
sangat berguna,5,positif,sangat berguna
bagusss,5,positif,bagusss
selama pakai aplikasi ini memuaskan meski kadang error. sangat membantu untuk belanja kebutuhan.,5,positif,selama pakai aplikasi memuaskan meski kadang error sangat membantu belanja kebutuhan
bagus,5,positif,bagus
Terus menyala toko Orange,5,positif,terus menyala toko orange
I LOVE U SHOPEE❤,5,positif,i love u shopee
lumayan ok,5,positif,lumayan
sangat membantu untuk keperluan belanja kapan ajah,5,positif,sangat membantu keperluan belanja kapan ajah
membantu sekali untuk belanja,5,positif,membantu sekali belanja
ada sedikit mini game mirip gambling di dalamnya pakai koin shopee,1,negatif,sedikit mini game mirip gambling dalamnya pakai koin shopee
yes yes yes yes sdh update 🙏,5,positif,yes yes yes yes sdh update 
berguna sangat banyak,5,positif,berguna sangat banyak
baik,4,positif,baik
"penjual nya pada tepat waktu, tapi kurir nya minta ampun. paket sudah proses antar alamat tadi selalu di tunda, sebagian paket saya di ambil di gudang, dan ada juga di kembalikan ke pembeli tanpa pemberitahuan itu kan sudah membuat rugi. juga ada kurir yang malas mengantarkan paket, berdalih jika paket banyak dan tidak takut di pecat. perbaiki ekspedisi, atau kembalikan saja jnt dan yang lainnya jika tidak sanggup menghandle",1,negatif,penjual nya tepat waktu kurir nya minta ampun paket proses antar alamat tadi selalu tunda sebagian paket ambil gudang ada di kembalikan pembeli pemberitahuan kan membuat rugi ada kurir malas mengantarkan paket berdalih paket banyak tidak takut di pecat perbaiki ekspedisi kembalikan jnt yang lainnya tidak sanggup menghandle
"kalo ada kendala ya kita ajukan pemulihan itu yang cepet menangani nya, kalo kek tadi ini saya mau checkout makanan di Shopee food tapi akun ku di blokir pembayaran nya karna saya salah pencet. nah itu kan saya ajukan pemulihan itu yang cepet nangani nya ini orang keburu laper gimana",2,negatif,kalo kendala kita ajukan pemulihan yang cepet menangani nya kalo kek tadi mau checkout makanan shopee food akun ku blokir pembayaran nya karna salah pencet nah kan saya ajukan pemulihan yang cepet nangani nya orang keburu laper gimana
mantap dan terkendali,5,positif,mantap terkendali
top bgt belanja di shopee banyak diskon love you shopee berkat kamu belanja jadi hemat terimakasih shopee,5,positif,top bgt belanja shopee banyak diskon love you shopee berkat kamu belanja jadi hemat terimakasih shopee
"ga tau kenapa makin kesini Shopee jelek banget, paket selalu diretur, ditunda'",2,negatif,ga tau makin kesini shopee jelek banget paket selalu diretur ditunda
mantap,5,positif,mantap
bagus,5,positif,bagus
saya mau pengajuan pengembalian blm saya klik tiba2 selesai payah parah,1,negatif,mau pengajuan pengembalian blm klik tiba selesai payah parah
dengan aplikasi ini berasa mudah mendapat kebutuhan yg di inginkan,5,positif,aplikasi berasa mudah mendapat kebutuhan yg inginkan
